,labels,coordinates
11,0,"[[0.40133288502693176, 0.8154428005218506], [0.5838374495506287, 0.6792322397232056], [0.6743899583816528, 0.5320056676864624], [0.763504147529602, 0.4083443880081177], [0.7670501470565796, 0.30669140815734863], [0.31864142417907715, 0.30279654264450073], [0.452509343624115, 0.07333943247795105], [0.6405627727508545, 0.11257399618625641], [0.7403011918067932, 0.220332533121109], [0.28238722681999207, 0.3244713544845581], [0.4747611880302429, 0.04651573300361633], [0.67240971326828, 0.12127503007650375], [0.7416863441467285, 0.24573609232902527], [0.2980950176715851, 0.3629525303840637], [0.4744979441165924, 0.08244016766548157], [0.6613082885742188, 0.16413383185863495], [0.7185887098312378, 0.2840038239955902], [0.35264837741851807, 0.42505165934562683], [0.5265803933143616, 0.20914064347743988], [0.6540421843528748, 0.26530808210372925], [0.6981295347213745, 0.3655368983745575]]"
12,0,"[[0.35824209451675415, 0.8121544122695923], [0.5504196882247925, 0.6933685541152954], [0.6496016979217529, 0.5411846041679382], [0.7573680877685547, 0.42460185289382935], [0.779967188835144, 0.31325703859329224], [0.33024337887763977, 0.3074699640274048], [0.47455909848213196, 0.08382971584796906], [0.6553343534469604, 0.13143542408943176], [0.7456839084625244, 0.24241089820861816], [0.29782581329345703, 0.3237839341163635], [0.4821311831474304, 0.06272360682487488], [0.6765007376670837, 0.1262379288673401], [0.750873863697052, 0.23780457675457], [0.30787837505340576, 0.36172664165496826], [0.47382307052612305, 0.08946377038955688], [0.6622809767723083, 0.15800537168979645], [0.7307108640670776, 0.26939642429351807], [0.3593970537185669, 0.4215826988220215], [0.5173141956329346, 0.21625283360481262], [0.6562576293945312, 0.2602160573005676], [0.718251645565033, 0.3553614616394043]]"
13,0,"[[0.38416945934295654, 0.6668312549591064], [0.550477147102356, 0.5862588882446289], [0.6115404367446899, 0.5084097385406494], [0.6821370720863342, 0.4604749083518982], [0.6992153525352478, 0.41682276129722595], [0.39014989137649536, 0.4091426730155945], [0.4984896779060364, 0.30562624335289], [0.619571328163147, 0.3328714966773987], [0.6700100898742676, 0.3822549879550934], [0.357019305229187, 0.418485164642334], [0.4997943639755249, 0.3002888560295105], [0.6384210586547852, 0.33970752358436584], [0.6770406365394592, 0.3934999108314514], [0.36173462867736816, 0.4370085895061493], [0.4887191355228424, 0.31043940782546997], [0.6232599020004272, 0.3498900532722473], [0.6615020036697388, 0.40377533435821533], [0.40242040157318115, 0.4655311107635498], [0.5135282278060913, 0.37009692192077637], [0.6112650632858276, 0.388933926820755], [0.6467546224594116, 0.4307674169540405]]"
14,0,"[[0.3609454035758972, 0.8257745504379272], [0.5681129693984985, 0.6728862524032593], [0.6554535031318665, 0.5162100791931152], [0.7519310116767883, 0.4073488116264343], [0.7800823450088501, 0.30050450563430786], [0.33180150389671326, 0.28712591528892517], [0.4703519344329834, 0.060604408383369446], [0.6474393606185913, 0.11719319224357605], [0.7310053110122681, 0.23332029581069946], [0.2892056107521057, 0.3130542039871216], [0.4778335988521576, 0.036697641015052795], [0.6766045689582825, 0.11168032884597778], [0.7484474182128906, 0.2356615513563156], [0.29923176765441895, 0.3608984053134918], [0.474029004573822, 0.07513197511434555], [0.6680850982666016, 0.1519252359867096], [0.7322725653648376, 0.2726437449455261], [0.35980185866355896, 0.4279525578022003], [0.5171459913253784, 0.21165765821933746], [0.6558194756507874, 0.2558940351009369], [0.7141943573951721, 0.352798193693161]]"
15,0,"[[0.4637049436569214, 0.6475973129272461], [0.5722599625587463, 0.577193021774292], [0.6270545721054077, 0.5017469525337219], [0.6875017881393433, 0.4416690468788147], [0.67633056640625, 0.38565582036972046], [0.4124446511268616, 0.4218015670776367], [0.45473986864089966, 0.3137999475002289], [0.5745782852172852, 0.3267638683319092], [0.6461780667304993, 0.36621466279029846], [0.37195444107055664, 0.42413315176963806], [0.4268063008785248, 0.2901298403739929], [0.5732222199440002, 0.30782240629196167], [0.6463743448257446, 0.35768747329711914], [0.3463553488254547, 0.4330222010612488], [0.4116782546043396, 0.30802932381629944], [0.5613678693771362, 0.3326908349990845], [0.6317651271820068, 0.3836260437965393], [0.350411593914032, 0.4531584084033966], [0.4316282272338867, 0.3629738688468933], [0.5502737760543823, 0.37179842591285706], [0.6193466782569885, 0.40543848276138306]]"
16,0,"[[0.4678177833557129, 0.6346720457077026], [0.5651869773864746, 0.5746846199035645], [0.622614860534668, 0.503764808177948], [0.6795796751976013, 0.4456297755241394], [0.6684427857398987, 0.3892497420310974], [0.41487181186676025, 0.4240756630897522], [0.44907593727111816, 0.31370073556900024], [0.5676672458648682, 0.32188141345977783], [0.6389830112457275, 0.3608437776565552], [0.3778465986251831, 0.4252076745033264], [0.42327943444252014, 0.2891871929168701], [0.5714245438575745, 0.30577659606933594], [0.6441392302513123, 0.357756108045578], [0.3533935546875, 0.43386417627334595], [0.4101162254810333, 0.30993643403053284], [0.5589391589164734, 0.3305404782295227], [0.6304171085357666, 0.37825244665145874], [0.3558287024497986, 0.45471999049186707], [0.4311998188495636, 0.3649316430091858], [0.5483942031860352, 0.37042737007141113], [0.6164458394050598, 0.4003707468509674]]"
17,0,"[[0.46251702308654785, 0.64906245470047], [0.5734965205192566, 0.5774070620536804], [0.625212550163269, 0.5016564726829529], [0.6832875609397888, 0.4434478282928467], [0.6757256984710693, 0.3887900710105896], [0.4089871644973755, 0.4216960668563843], [0.44880107045173645, 0.3107573390007019], [0.5715155601501465, 0.32440152764320374], [0.6453964710235596, 0.3655683398246765], [0.369188517332077, 0.42328351736068726], [0.4263996183872223, 0.28881365060806274], [0.5756169557571411, 0.3069450855255127], [0.6482038497924805, 0.3580164313316345], [0.34439411759376526, 0.43236273527145386], [0.41203537583351135, 0.3066861629486084], [0.5625267624855042, 0.3307023048400879], [0.6328888535499573, 0.3819139003753662], [0.3517324924468994, 0.4535534381866455], [0.43600237369537354, 0.36268022656440735], [0.5546652674674988, 0.37208321690559387], [0.6222466826438904, 0.40695083141326904]]"
18,0,"[[0.4413374364376068, 0.6799481511116028], [0.561996579170227, 0.5945225358009338], [0.6190167665481567, 0.5076175332069397], [0.6760210990905762, 0.44848477840423584], [0.6690048575401306, 0.39607399702072144], [0.41125360131263733, 0.424445241689682], [0.4491041600704193, 0.3166106939315796], [0.5723571181297302, 0.3305271565914154], [0.643822431564331, 0.3698052167892456], [0.3671889901161194, 0.4275481700897217], [0.4216786324977875, 0.2919372320175171], [0.5696043372154236, 0.31019192934036255], [0.6390100121498108, 0.3609519898891449], [0.34193113446235657, 0.4394646883010864], [0.4026082754135132, 0.3126775026321411], [0.5529685020446777, 0.3374057412147522], [0.6196410655975342, 0.38629117608070374], [0.3459571599960327, 0.4628375172615051], [0.423245370388031, 0.36763283610343933], [0.5378984212875366, 0.3754364550113678], [0.6030033230781555, 0.4095546007156372]]"
19,0,"[[0.45320993661880493, 0.6741619110107422], [0.5651089549064636, 0.5927157402038574], [0.6258431673049927, 0.5096942186355591], [0.688400149345398, 0.44517284631729126], [0.6681212186813354, 0.3810390830039978], [0.42904356122016907, 0.42746010422706604], [0.43998679518699646, 0.3157646059989929], [0.5529184937477112, 0.3151995539665222], [0.6259124875068665, 0.35018956661224365], [0.38562625646591187, 0.4304123520851135], [0.41577139496803284, 0.2967550754547119], [0.5582602024078369, 0.3085797131061554], [0.6316454410552979, 0.3591282367706299], [0.3520442545413971, 0.4401175379753113], [0.40071284770965576, 0.3173043727874756], [0.5481675863265991, 0.33771902322769165], [0.617605447769165, 0.38722455501556396], [0.3419252038002014, 0.4603591859340668], [0.4072023332118988, 0.3650708794593811], [0.5243656039237976, 0.371515691280365], [0.5948372483253479, 0.40766799449920654], [0.3763121962547302, 0.4301406741142273], [0.3771723508834839, 0.4565231204032898], [0.3918212056159973, 0.4528287947177887], [0.4199361503124237, 0.4396649897098541], [0.4578506052494049, 0.43638914823532104], [0.3560600280761719, 0.3626079559326172], [0.47544169425964355, 0.37032487988471985], [0.544487714767456, 0.39794790744781494], [0.5969971418380737, 0.42465004324913025], [0.38134753704071045, 0.3195462226867676], [0.5108339190483093, 0.3348357081413269], [0.5881970524787903, 0.3697145879268646], [0.6395823359489441, 0.4035353362560272], [0.41758689284324646, 0.2974244952201843], [0.5328222513198853, 0.30976030230522156], [0.6075360774993896, 0.3453288674354553], [0.6563541889190674, 0.3789326250553131], [0.4541289210319519, 0.2889915704727173], [0.5411860346794128, 0.30189383029937744], [0.5941024422645569, 0.32966911792755127], [0.6289852857589722, 0.35302838683128357]]"
20,0,"[[0.4171011745929718, 0.6551784873008728], [0.5558611154556274, 0.5604476928710938], [0.5965357422828674, 0.47747617959976196], [0.6558250188827515, 0.42030954360961914], [0.6739830374717712, 0.37864819169044495], [0.3401472568511963, 0.41309964656829834], [0.4308587312698364, 0.3021048307418823], [0.5694338083267212, 0.3007740378379822], [0.6603398323059082, 0.3271217942237854], [0.3104146122932434, 0.425189346075058], [0.4438449442386627, 0.29513826966285706], [0.6027224063873291, 0.3068905174732208], [0.6837917566299438, 0.34508776664733887], [0.32513123750686646, 0.4426078796386719], [0.4515676200389862, 0.3160211443901062], [0.6027752161026001, 0.3272232115268707], [0.6762974858283997, 0.3640858232975006], [0.377295583486557, 0.465895414352417], [0.48908689618110657, 0.37039563059806824], [0.5941365957260132, 0.3675711154937744], [0.6575747132301331, 0.38922592997550964]]"
21,0,"[[0.42083802819252014, 0.762407124042511], [0.5762603878974915, 0.6377716064453125], [0.6485376358032227, 0.4633004665374756], [0.7307963967323303, 0.33509451150894165], [0.7521783113479614, 0.2288389801979065], [0.3185628056526184, 0.31404268741607666], [0.4446047842502594, 0.10461679846048355], [0.6261207461357117, 0.0950060784816742], [0.7582540512084961, 0.14304602146148682], [0.27019447088241577, 0.3332865834236145], [0.40517914295196533, 0.07644739747047424], [0.6215507388114929, 0.07513107359409332], [0.7586901783943176, 0.13347318768501282], [0.25774723291397095, 0.3675787150859833], [0.3936302065849304, 0.094159334897995], [0.6080314517021179, 0.1091984361410141], [0.7325413227081299, 0.17776371538639069], [0.29434603452682495, 0.41491296887397766], [0.4343932569026947, 0.20627620816230774], [0.5966852903366089, 0.196647047996521], [0.7038816213607788, 0.2343885451555252]]"
22,0,"[[0.45276379585266113, 0.7713283896446228], [0.6033834218978882, 0.6420982480049133], [0.6654502153396606, 0.4716637134552002], [0.741946816444397, 0.3489505350589752], [0.744446873664856, 0.22759459912776947], [0.38032451272010803, 0.3044522702693939], [0.45536527037620544, 0.11624923348426819], [0.6171587109565735, 0.09991253912448883], [0.7406374216079712, 0.14905701577663422], [0.32737231254577637, 0.31725481152534485], [0.3970843553543091, 0.07888801395893097], [0.6015945672988892, 0.06420625746250153], [0.7428414821624756, 0.12390340864658356], [0.29402804374694824, 0.34510090947151184], [0.37651485204696655, 0.10751432180404663], [0.5837803483009338, 0.10442067682743073], [0.7097273468971252, 0.16408196091651917], [0.30255013704299927, 0.39294517040252686], [0.4232407212257385, 0.20180557668209076], [0.5886940956115723, 0.1868411749601364], [0.7030270099639893, 0.2246101349592209]]"
23,0,"[[0.40278780460357666, 0.6720750331878662], [0.5393970608711243, 0.5798918604850769], [0.5942061543464661, 0.4938889741897583], [0.6504875421524048, 0.4364801049232483], [0.6600066423416138, 0.39256551861763], [0.35893920063972473, 0.4123976528644562], [0.4477773904800415, 0.3109127879142761], [0.5874408483505249, 0.3211221694946289], [0.6772031784057617, 0.3515167534351349], [0.3212777376174927, 0.420742005109787], [0.43381547927856445, 0.29435694217681885], [0.5956622958183289, 0.3106784224510193], [0.6832341551780701, 0.3501212000846863], [0.31832796335220337, 0.4397374093532562], [0.43421322107315063, 0.31477588415145874], [0.5903319716453552, 0.3336884081363678], [0.6680222153663635, 0.3734801113605499], [0.35318291187286377, 0.4685226082801819], [0.4631413519382477, 0.3753681182861328], [0.578953206539154, 0.3757048547267914], [0.651125431060791, 0.3981621563434601]]"
24,0,"[[0.40078872442245483, 0.6594963669776917], [0.533195972442627, 0.5739654302597046], [0.5891333222389221, 0.4905058741569519], [0.6529503464698792, 0.43351975083351135], [0.6689491868019104, 0.3934932351112366], [0.3557325005531311, 0.41083431243896484], [0.43851977586746216, 0.30580538511276245], [0.5767868161201477, 0.3129142224788666], [0.6708249449729919, 0.3443462550640106], [0.3185007572174072, 0.41986608505249023], [0.43750932812690735, 0.2955508232116699], [0.5989707112312317, 0.31311479210853577], [0.6877935528755188, 0.3507569432258606], [0.31735867261886597, 0.4381701350212097], [0.4427027404308319, 0.3180568218231201], [0.5962109565734863, 0.33822065591812134], [0.6743106842041016, 0.3774801194667816], [0.3554437756538391, 0.4654811918735504], [0.4738425016403198, 0.37881749868392944], [0.5883261561393738, 0.3794204592704773], [0.6604057550430298, 0.3991837203502655]]"
25,0,"[[0.4132082462310791, 0.8441842198371887], [0.5964472889900208, 0.6245220899581909], [0.6588133573532104, 0.4547165632247925], [0.7475451231002808, 0.329528272151947], [0.7767957448959351, 0.22627665102481842], [0.2564364969730377, 0.27715691924095154], [0.46676334738731384, 0.09221300482749939], [0.6398350596427917, 0.10595683008432388], [0.7503433227539062, 0.1700194776058197], [0.2216094583272934, 0.28461629152297974], [0.47608792781829834, 0.04870574176311493], [0.6648064255714417, 0.08678306639194489], [0.7737334966659546, 0.1831180453300476], [0.2475099116563797, 0.30894362926483154], [0.48884278535842896, 0.07148075103759766], [0.6768578290939331, 0.11336574703454971], [0.7749620079994202, 0.19825713336467743], [0.32574912905693054, 0.34903550148010254], [0.5286595821380615, 0.17119863629341125], [0.664888858795166, 0.1862974911928177], [0.7509785890579224, 0.23974350094795227]]"
26,0,"[[0.4108124375343323, 0.8566895723342896], [0.6002994775772095, 0.6220168471336365], [0.6640176773071289, 0.4445130228996277], [0.7503957748413086, 0.31494736671447754], [0.7791505455970764, 0.20336556434631348], [0.25495725870132446, 0.2779810130596161], [0.4577842354774475, 0.08767224848270416], [0.6348971128463745, 0.1020418331027031], [0.7443904876708984, 0.16856376826763153], [0.2162075638771057, 0.285928338766098], [0.463667631149292, 0.04491019248962402], [0.6588972210884094, 0.08165796101093292], [0.7712587714195251, 0.1790977120399475], [0.24019940197467804, 0.3106461763381958], [0.47087812423706055, 0.06331659853458405], [0.6656255722045898, 0.10175156593322754], [0.7706184387207031, 0.18909579515457153], [0.31841856241226196, 0.35199785232543945], [0.5148196220397949, 0.16968542337417603], [0.655385434627533, 0.18370306491851807], [0.7476497888565063, 0.2398187667131424]]"
27,0,"[[0.3948165774345398, 0.8435012698173523], [0.5833402872085571, 0.6151023507118225], [0.6528804302215576, 0.45129096508026123], [0.7419496774673462, 0.33429574966430664], [0.7652896046638489, 0.2323502004146576], [0.2534061074256897, 0.2802024483680725], [0.4606298506259918, 0.10224364697933197], [0.6319350004196167, 0.11298564076423645], [0.7363953590393066, 0.1761343777179718], [0.22308538854122162, 0.2853945195674896], [0.4743559956550598, 0.06428088247776031], [0.6636550426483154, 0.09722550213336945], [0.7700039744377136, 0.18823778629302979], [0.2514990270137787, 0.3069179654121399], [0.4823322892189026, 0.07838819921016693], [0.669908344745636, 0.11376883089542389], [0.7652714252471924, 0.19450955092906952], [0.3362891376018524, 0.34205710887908936], [0.5383926630020142, 0.17602106928825378], [0.6694914102554321, 0.18970608711242676], [0.7473798990249634, 0.24239233136177063]]"
